runde_nr,parti_valgt_2013,omtaler_parti,kategori,andel,konfidensintervall_fra,konfidensintervall_til,N
7,Alle,Høyre,Misliker,0.3695,0.3495,0.39,4594
7,Alle,Høyre,Nøytral,0.1489,0.1331,0.1661,4594
7,Alle,Høyre,Liker,0.4816,0.4608,0.5024,4594
7,Alle,FrP,Misliker,0.5786,0.557,0.6,4597
7,Alle,FrP,Nøytral,0.1205,0.1046,0.1383,4597
7,Alle,FrP,Liker,0.3009,0.281,0.3216,4597
7,Alle,Venstre,Misliker,0.4696,0.4485,0.4907,4593
7,Alle,Venstre,Nøytral,0.2534,0.2361,0.2716,4593
7,Alle,Venstre,Liker,0.277,0.26,0.2947,4593
7,Alle,SV,Misliker,0.5191,0.4982,0.54,4593
7,Alle,SV,Nøytral,0.2229,0.2047,0.2422,4593
7,Alle,SV,Liker,0.258,0.2415,0.2752,4593
7,Alle,Sp,Misliker,0.3691,0.3491,0.3896,4595
7,Alle,Sp,Nøytral,0.3467,0.3274,0.3667,4595
7,Alle,Sp,Liker,0.2841,0.2654,0.3036,4595
7,Alle,MDG,Misliker,0.5717,0.5514,0.5918,4601
7,Alle,MDG,Nøytral,0.1851,0.17,0.2013,4601
7,Alle,MDG,Liker,0.2431,0.227,0.2601,4601
7,Alle,Ap,Misliker,0.2716,0.2516,0.2925,4608
7,Alle,Ap,Nøytral,0.149,0.1345,0.1648,4608
7,Alle,Ap,Liker,0.5794,0.558,0.6005,4608
9,Alle,KrF,Misliker,0.5136249,0.4960746,0.5311417,6741
9,Alle,KrF,Nøytral,0.2446173,0.2293658,0.2605401,6741
9,Alle,KrF,Liker,0.2417578,0.2269737,0.2571845,6741
9,Alle,Høyre,Misliker,0.3535472,0.3368812,0.3705769,6745
9,Alle,Høyre,Nøytral,0.1462606,0.1339699,0.1594711,6745
9,Alle,Høyre,Liker,0.5001922,0.4827032,0.5176807,6745
9,Alle,FrP,Misliker,0.5707549,0.5529948,0.5883346,6742
9,Alle,FrP,Nøytral,0.1164645,0.1039371,0.1302821,6742
9,Alle,FrP,Liker,0.3127807,0.2965327,0.3295019,6742
9,Alle,Venstre,Misliker,0.4883816,0.4709175,0.5058742,6728
9,Alle,Venstre,Nøytral,0.2668161,0.2503431,0.2839625,6728
9,Alle,Venstre,Liker,0.2448023,0.230533,0.2596567,6728
9,Alle,SV,Misliker,0.5137396,0.4961444,0.5313008,6732
9,Alle,SV,Nøytral,0.2379264,0.2217265,0.2549222,6732
9,Alle,SV,Liker,0.248334,0.2336408,0.2636333,6732
9,Alle,Sp,Misliker,0.3244729,0.3092018,0.3401269,6734
9,Alle,Sp,Nøytral,0.2984426,0.2814165,0.3160458,6734
9,Alle,Sp,Liker,0.3770845,0.3604824,0.3939801,6734
9,Alle,MDG,Misliker,0.5593811,0.5417349,0.5768785,6738
9,Alle,MDG,Nøytral,0.1811374,0.167947,0.1951209,6738
9,Alle,MDG,Liker,0.2594815,0.2437022,0.2759097,6738
9,Alle,Ap,Misliker,0.2962987,0.2807917,0.3122902,6752
9,Alle,Ap,Nøytral,0.154891,0.1419664,0.1687609,6752
9,Alle,Ap,Liker,0.5488103,0.5312852,0.5662152,6752
1,AP,KRF,Misliker,0.5026,0.4736915,0.5315085,1150
1,AP,KRF,Nøytral,0.26,0.2354248,0.2861803,1150
1,AP,KRF,Liker,0.2373,0.2136481,0.262891,1150
2,AP,KRF,Misliker,0.6323,0.5993604,0.6640849,854
2,AP,KRF,Nøytral,0.192,0.1669452,0.2199056,854
2,AP,KRF,Liker,0.1756,0.1515168,0.2026954,854
3,AP,KRF,Misliker,0.4921764,0.4708496,0.5135317,2109
3,AP,KRF,Nøytral,0.2773826,0.2586712,0.2969055,2109
3,AP,KRF,Liker,0.230441,0.2129471,0.2489175,2109
4,AP,KRF,Misliker,0.4535,0.4295079,0.4779025,1627
4,AP,KRF,Nøytral,0.2759,0.2547629,0.2982318,1627
4,AP,KRF,Liker,0.2704,0.2493807,0.2925769,1627
5,AP,KRF,Misliker,0.4685067,0.4425657,0.4946191,1413
5,AP,KRF,Nøytral,0.2696391,0.2471089,0.2934228,1413
5,AP,KRF,Liker,0.2618542,0.2395597,0.2854447,1413
6,AP,KRF,Misliker,0.4794189,0.4516558,0.5073097,1239
6,AP,KRF,Nøytral,0.2824859,0.2580717,0.3082501,1239
6,AP,KRF,Liker,0.2380952,0.2151656,0.2626507,1239
7,AP,KRF,Misliker,0.5225376,0.4941705,0.55076,1198
7,AP,KRF,Nøytral,0.2612688,0.237133,0.2869372,1198
7,AP,KRF,Liker,0.2161937,0.1937626,0.240447,1198
9,AP,KRF,Misliker,0.5821727,0.5524103,0.6113484,1077
9,AP,KRF,Nøytral,0.2191272,0.1953888,0.244872,1077
9,AP,KRF,Liker,0.1987001,0.1759038,0.2236489,1077
