Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Kommune,Lat,Lon,Sjøtemperatur
34,2017,15517,TINNLANDET,,,,HAMMERFEST,70.5295,23.2287,9
34,2017,25815,TITTELSNES,0.15,0.2,0.02,SVEIO,59.72365,5.534383,15.94
34,2017,28916,TJÆRNHOLMEN,,,,VIKNA,64.84486,10.81205,
34,2017,20075,TJAJNELUOKTA,,,,TYSFJORD,67.89243,16.23672,
34,2017,31077,TJUKKENESET,,,,EVENES,68.47487,17.30393,
34,2017,10054,TOBBEHOLMANE,,,,AUSTEVOLL,60.02432,5.30815,
34,2017,11414,TOFTEN,0.02,0.05,0.01,ØKSNES,68.86898,15.30105,11
34,2017,10635,TOKNEBUKTNESET,0.02,0.36,0.03,KVALSUND,70.5734,24.07473,7.8
34,2017,17575,TOLLAKSHOLMEN,0.01,0.1,0.01,BOKN,59.2522,5.390517,15.9
34,2017,26055,TOPPSUND Ø,0.13,0.3,0.17,HARSTAD,68.86372,16.40303,11.17
34,2017,30236,TOPPSUND V,0.43,1.31,0.59,HARSTAD,68.9112,16.28933,11.2
34,2017,30837,TORANGSKJERET,,,,AUSTEVOLL,60.13018,5.176033,
34,2017,30177,TORGERHAUGEN,,,,NÆRØY,64.89295,11.76302,
34,2017,12671,TORLANDSØYA,,,,NÆRØY,64.78018,11.45475,
34,2017,12114,TORSNESET,,,,VINDAFJORD,59.51827,5.820033,
34,2017,33677,TORVUND,0,0,0,HØYANGER,61.145,5.656183,15.3
34,2017,34917,TOSEN,,,,BINDAL,65.24944,12.81528,
34,2017,31497,TOSKA N,0.04,0.46,0.13,RADØY,60.66987,4.9172,15.4
34,2017,14018,TOSKA S,,,,RADØY,60.63383,4.996883,
34,2017,29336,TRÆLSØYOSEN,0.1,0.18,0.13,AUSTEVOLL,60.1178,5.2702,16
34,2017,30517,TRÆLVIKA,,,,LENVIK,69.51895,17.69593,
34,2017,32717,TRANØYA N,0.1,0.99,0.02,BJUGN,63.87203,9.769783,14.48
34,2017,10090,TRELLEVIKA,,,,ASKVOLL,61.37038,5.0185,
34,2017,17077,TRETTEVIK,0.12,0.28,0.68,LENVIK,69.51037,18.0218,9.6
34,2017,32857,TRETTHOLMOSEN,,,,BØMLO,59.83193,5.0801,
34,2017,30560,TRISTEINEN,0.17,0.25,0.02,BJUGN,63.86895,9.6204,14
34,2017,13677,TRØAN BJØRKLIBUKTA,,,,HEMNE,63.33155,9.1231,
